Localidade,Name,Location,Runes,Loot,Stance,Pref. dmg. type,Resistencia
Liurnia of the Lakes,2x Crystalian (Staff and Spear),Academy Crystal Cave,"3,300",Crystal Release,70,🏏 Acerto (Strike) (altamente vulnerável)., ⚔️ Corte (Slash) e  🤺 Perfuração (Pierce). Fraco a Acerto (Strike).
Liurnia of the Lakes,Cemetery Shade,Black Knife Catacombs,"3,500",Twinsage Sorcerer Ashes,70,"Dano 🙌🏻 Sagrado, 🔥 Fogo.","❄️ Congelamento, 🩸 Sangramento."
Liurnia of the Lakes,Crystalian (Ringblade),Raya Lucaria Crystal Tunnel,"3,000",Smithing-Stone Bell Bearing (1),70,🏏 Acerto (Strike) (altamente vulnerável)., ⚔️ Corte (Slash) e 🤺 Perfuração (Pierce). Fraco a Acerto (Strike).
Liurnia of the Lakes,Royal Revenant,Kingsrealm Ruins,"3,100",Frozen Needle,70,"Dano 🙌🏻 Sagrado, 💊 Cura (altamente vulnerável).", 🔷 Magia. Fraco a Dano 🙌🏻 Sagrado e Cura.
Liurnia of the Lakes,Omenkiller,Village of the Albinaurics,"4,900",Crucible Knot Talisman,75,"🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo, 🩸 Sangramento."
Liurnia of the Lakes,Bell Bearing Hunter,Church of Vows,"6,000",Meat Peddler's Bell Bearing,80,"🔷 Magia, 🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Black Knife Assassin,Black Knife Catacombs (hidden),"1,600",Black Knifeprint,80,"🩸 Sangramento, ❄️ Congelamento.",Imune a Morte (Death Blight).  🩸 Sangramento.
Liurnia of the Lakes,Erdtree Burial Watchdog,Cliffbottom Catacombs,"2,700",Kaiden Sellsword Ashes,80,"🏏 Acerto (Strike), 🔥 Fogo, Dano 🙌🏻 Sagrado (menos do que esperaria).","  🤺 Perfuração (Thrust).  🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Godskin Noble,After Carian Study Hall,"4,810",Godskin Noble Set,80,"💤 Sono, 🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo (Fase 2) e ⚔️ Corte (Slash).  🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Night's Cavalry (North),Next to East Raya Lucaria Gate SoG,"5,600",Nightrider Glaive; Ash of War: Giant Hunt,80,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento e ❄️ Congelamento (variação por arma).
Liurnia of the Lakes,Night's Cavalry (South),Gate Town Bridge,"5,600",Ash of War: Ice Spear,80,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento e ❄️ Congelamento (variação por arma).
Liurnia of the Lakes,Tibia Mariner,Between Liurnia Highway North and Artist's Shack SoG,"4,700",Deathroot; Skeletal Bandit Ashes,80,"🔥 Fogo, Dano 👊🏻 Físico.", 🩸 Sangramento.
Liurnia of the Lakes,Death Rite Bird,Next to Gate Town North SoG,"7,800",Ancient Death Ancor,120,"Dano 👊🏻 Físico (especialmente Standard), 🩸 Sangramento.",Imune a Morte.   🙌🏻 Sagrado e 🔥 Fogo.
Liurnia of the Lakes,Deathbird,Scenic Isle,"6,600",Red Feathered Branch,120,"🔥 Fogo, Dano de 🏏 Acerto (Strike).",Imune a Morte.   🙌🏻 Sagrado.  🩸 Sangramento (moderado).
Liurnia of the Lakes,Erdtree Avatar (Northeast),Minor Erdtree North,"5,800",Holy-Shrouding Cracked Tear; Lightning-Shrouding Cracked Tear; Magic-Shrouding Cracked Tear ,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.","  🙌🏻 Sagrado.  🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Erdtree Avatar (Southwest),Minor Erdtree South,"5,800",Cerulean Crystal Tear; Ruptured Crystal Tear,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.","  🙌🏻 Sagrado.  🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Glintstone Dragon Adula (1st location),In front of Ranni's Rise,0,Behold nothing,120,"🩸 Sangramento, ❄️ Congelamento.","🔷 Magia, 🧊 Gelo.  🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Glintstone Dragon Smarag,Next to Crystaline Woods SoG,"14,000",Dragon Heart,120,"🩸 Sangramento, ❄️ Congelamento.","🔷 Magia, 🧊 Gelo.  🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Magma Wyrm Makar,Ruin-Strewn Precipice,"24,000",Magma Wyrm's Scalesword; Dragon Heart,120,"❄️ Congelamento, 🩸 Sangramento.","  🔥 Fogo. Imune a Magma.  🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,"Adan, Thief of Fire",Malefactor's Evergaol,"3,800",Flame of the Fell God,N/A,"❄️ Congelamento, 🩸 Sangramento."," 🔥 Fogo (óbvio).  🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Bloody Finger Ravenmount Assasin,Next to Raya Lucaria Main Gate SoG,0,Rune Arc; Furlcaling Finger Remedy; Ash of War: Raptor of the Mists,N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Liurnia of the Lakes,Edgar the Revenger,Revenger's Shack,316,Shabriri Grape; Banished Knight's Halberd +8; 5x Raw Meat Dumpling,N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Liurnia of the Lakes,Festering Fingerprint Vyke,Church of Inhibition,0,Vyke's War Spear,N/A,"🩸 Sangramento, ❄️ Congelamento.","🤡 Loucura.  🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Great Horned Tragoth,Volcano Mannor Marker,158,Bull-Goat Set,N/A,"🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Preceptor Miriam,Carian Study Hall,"5,000",Magic Downpour/Lucidity,N/A,"Dano 👊🏻 Físico, 🩸 Sangramento, ❄️ Congelamento.",🔷 Magia.
Liurnia of the Lakes,Spirit Caller Snail,Road's End Catacombs,"2,250",Glintstone Sorcerer Ashes,N/A,"Qualquer dano direto (foco no corpo, não nas invocações).", todos os tipos de dano. Foque em destruir as cópias ou o caracol.
Mohgwyn Dynasty Mausoleum,"Mohg, Lord of Blood",End of legacy dungeon,"420,000",Mohg's Great Rune; Remembrance of the Blood Lord,110,"🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo, 🙌🏻 Sagrado. Imune a Morte."
Mohgwyn Dynasty Mausoleum,3x Nameless White Mask,Scattered around left edge in the part with doggies,0,"3x Furlcalling Finger Remedy, War Surgeon Set",N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Moonlight Altar,"Alecto, Black Knife Ringleader",Ringleader's Evergaol,"88,000",Black Knife Tiche,80,"🩸 Sangramento, ❄️ Congelamento.",Imune a Morte.  🩸 Sangramento.
Moonlight Altar,Glintstone Dragon Adula (1st location) (2nd location),Cathedral of Manus Celes,"120,000",3x Dragon Heart; Adula's Moonblade,120,"🩸 Sangramento, ❄️ Congelamento.","🔷 Magia, 🧊 Gelo.  🩸 Sangramento, ❄️ Congelamento."
Mount Gelmir,2x Kindred of Rot,Seethwater Cave,"10,000",2x Kindred of Rot's Exulation,30,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.","  🍁 Podridão Escarlate, 🩸 Sangramento, ❄️ Congelamento."
Mount Gelmir,Stonedigger Troll,Old Altus Tunnel,"9,600",Great Club,45,"Dano 🙌🏻 Sagrado, ❄️ Congelamento.", 👊🏻 Dano Físico (especialmente Acerto/Strike).  🩸 Sangramento.
Mount Gelmir,Black Knife Assassin (Sage's Cave),Sage's Cave,"9,000",Concealing Veil,80,"🩸 Sangramento, ❄️ Congelamento.",Imune a Morte (Death Blight).  🩸 Sangramento.
Mount Gelmir,Demi-Human Queen Gilika,Lux Ruins,"8,500",Ritual Sword Talisman,80,🔥 Fogo.," 🩸 Sangramento, ❄️ Congelamento."
Mount Gelmir,Demi-Human Queen Maggie,Behind Hermit Village,"13,000",Memory Stone; Golden Rune (1),80,🔥 Fogo.," 🩸 Sangramento, ❄️ Congelamento."
Mount Gelmir,Demi-Human Queen Margot,Volcano Cave,"11,000",Jar Cannon,80,🔥 Fogo.," 🩸 Sangramento, ❄️ Congelamento."
Mount Gelmir,Erdtree Burial Watchdog,Wyndham Catacombs,"12,000",Glowerwort Picker's Bell Bearing (1),80,"🏏 Acerto (Strike), 🔥 Fogo, Dano 🙌🏻 Sagrado (menos do que esperaria).","  🤺 Perfuração (Thrust).  🩸 Sangramento, ❄️ Congelamento."
Mount Gelmir,Tibia Mariner,Wyndham Ruins,"14,000",Deathroot; Tibia's Summons,80,"🔥 Fogo, Dano 👊🏻 Físico.", 🩸 Sangramento.
Mount Gelmir,Full-Grown Fallingstar Beast,Next to Ninth Mt. Gelmir Campsite SoG,"21,000",Fallingstar Beast Jaw; 5x Smithing Stone (6); Somber Smithing Stone (6),100,"Dano de 🤺 Perfuração (Pierce), 🩸 Sangramento, ❄️ Congelamento."," 🔷 Magia e Gravidade.  🩸 Sangramento, ❄️ Congelamento."
Mount Gelmir,Magma Wyrm,Behind Fort Laiedd,"19,000",Dragon Heart,120,"❄️ Congelamento, 🩸 Sangramento.","  🔥 Fogo. Imune a Magma.  🩸 Sangramento, ❄️ Congelamento."
Mount Gelmir,Red Wolf of the Champion,Gelmir Hero's Grave,"21,000",Bloodhound Knight Floh,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.",🔷 Magia.
Mount Gelmir,Ulcerated Tree Spirit,Minor Erdtree,"18,000",Leaden Hardtear; Cerulean Hidden Tear,120,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🔥 Fogo. Imune a Morte.
Mount Gelmir,Perfumer Tricia and Misbegotten Warrior,Unsightly Catacombs,"9,400",Perfumer Tricia,65/80,"Perfumer Tricia: 🩸 Sangramento, ❄️ Congelamento. Misbegotten: 🩸 Sangramento.",Perfumer Tricia:  🔥 Fogo. Misbegotten:  🩸 Sangramento.
Mount Gelmir,"Anastasia, Tarnished-Eater",Corpse-Stench Shack,"1,459",Butchering Knife,N/A,"🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
Mount Gelmir,Necromancer Garris,Sage's Cave,"9,000",Familly Heads,N/A,"🩸 Sangramento, ❄️ Congelamento.",Morte.  🩸 Sangramento.
Mountaintop of Giants,Ancient Hero of Zamor,Giant-Conquering Hero's Grave,"83,000",Zamor Curved Sword; Zamor Set,80,"🔥 Fogo, ⚡ Raio.","❄️ Congelamento (moderado), 🩸 Sangramento. Imune a ❄️ Congelamento (pode ter fases/exceções)."
Mountaintop of Giants,Spritcaller Snail,Spiritcaller Cave,"70,000",Black Flame Ritual; Godskin Swaddling Cloth,80,"Qualquer dano direto (foco no corpo, não nas invocações).", todos os tipos de dano. Foque em destruir as cópias ou o caracol.
Mountaintop of Giants,Tibia Mariner,On a ledge above Castle Sol,"4,234",Helphen's Steeple; Deathroot,80,"🔥 Fogo, Dano 👊🏻 Físico.", 🩸 Sangramento.
Mountaintop of Giants,Death Rite Bird,Next to Shack of the Lofty,"77,000",Death Ritual Spear,120,"Dano 👊🏻 Físico (especialmente Standard), 🩸 Sangramento.",Imune a Morte.   🙌🏻 Sagrado e 🔥 Fogo.
Mountaintop of Giants,"Borealis, the Freezing Fog",Centre of the frozen lake,"100,000",Dragon Heart,120,"🔥 Fogo, 🩸 Sangramento.",🧊 Gelo (óbvio). ❄️ Congelamento.
Mountaintop of Giants,Fire Giant,Guarding the forge,"180,000",Remembrance of the Fire Giant,120,"🩸 Sangramento, ❄️ Congelamento, 🤺 Perfuração (Pierce)."," 🔥 Fogo. Imune a  🍁 Podridão Escarlate, 💤 Sono, 🤡 Loucura, Morte."
Mountaintop of Giants,Putrid Avatar,Minor Erdtree,"70,000",Cerulean Crystal Tear; Crimson Bubbletear,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.",  🙌🏻 Sagrado. Imune a  🍁 Podridão Escarlate (ele mesmo aplica).
Mountaintop of Giants,Ulcerated Tree Spirit,Giants Mountaintop Catacombs,"48,000",Glovewort Picker's Bell Bearing [2]; Golden Seed,120,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🔥 Fogo. Imune a Morte.
Mountaintop of Giants,Bloody Finger Okina,Church of Repose,734,Rivers of Blood; Okina Mask; Furlcalling Finger Remedy,N/A,"🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento."
Mountaintop of Giants,Chief Guardian Arganthy,Guardian's Garrison,"5,040",One-Eyed Shield,N/A,"🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento."
Mountaintop of Giants,Juno Hoslow; Knight of Blood,Volcano Mannor Marker,2974,Rune Arc; Furlcalling Finger Remedy; Hoslow's Set; Hoslow's Petal Whip,N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Mountaintop of Giants,"Vyke, Knight of the Roundtable",Lord Contender's Evergaol,"75,000",Fingerprint Set; Vyke's Dragonbolt,N/A,"🩸 Sangramento, ❄️ Congelamento.","🤡 Loucura (ele mesmo aplica).  🩸 Sangramento, ❄️ Congelamento."
Nokstella and Uhl Palace,Dragonkin Soldier of Nokstella,Turn right from Ainsel River Downstream SoG,"12,000",Frozen Lightning Spear,120,"Dano de 🤺 Perfuração (Pierce), 🔥 Fogo, 🩸 Sangramento.","⚡ Raio (moderado), ❄️ Congelamento."
Raya Lucaria Academy,"Rennala, Queen of the Full Moon",Grand Library of Raya Lucaria,"40,000",Remembrance of the Full Moon; Great Rune of the Unborn,0,"Dano 👊🏻 Físico (Fase 1), 🩸 Sangramento (Fase 1).","🔷 Magia (Fase 2), ❄️ Congelamento. Imune a  🍁 Podridão Escarlate, 🟢 Veneno, 🤡 Loucura, 💤 Sono, Morte."
Raya Lucaria Academy,Red Wolf of Radagon,Debate Hall,"14,000",Memory Stone,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.",🔷 Magia.
Raya Lucaria Academy,"Moongrum, Carian Knight",Before the lift to Raya Lucaria Grand Library,"3,000",Carian Knight's Shield,N/A,"Dano 👊🏻 Físico, 🩸 Sangramento, ❄️ Congelamento.",🔷 Magia (ele é um Carian Knight). ❄️ Congelamento.
Redmane Castle,Starscourge Radahn,Wailing Dunes behind the Castle,"70,000",Remembrance of the Starscourge; Radahn's Great Rune,200,"🍁 Podridão Escarlate, 🩸 Sangramento, ❄️ Congelamento.","🙌🏻 Sagrado (leve). Imune a 💤 Sono, 🤡 Loucura, Morte."
Shaded Castle,Elemer of the Briar,End of the Shaded Castle legacy dungeon,"24,000",Marai's Executioner Sword; Briar Greatshield,80,"🔷 Magia, 🩸 Sangramento, ❄️ Congelamento.", 🙌🏻 Sagrado.  🩸 Sangramento.
Shaded Castle,"Maleigh Marais, Shaded Castle Castelan",Left of the Shaded Castle,"4,800",Antspur Rapier; Marais Robe; Marais Mask,N/A,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.","🟢 Veneno,  🍁 Podridão Escarlate (ele mesmo aplica).  🩸 Sangramento, ❄️ Congelamento."
Siofra and Nokron,Valiant Gargoyle Duo,Continus from Aqueduct-Facing Cliffs SoG,"30,000",Gargoyle's Greatsword; Gargoyle's Twinblade,110,"🩸 Sangramento, ❄️ Congelamento (moderado)."," 🩸 Sangramento, ❄️ Congelamento (moderado)."
Siofra and Nokron,Ancestor Spirit,Deer corpse after lighting all the pillars,"13,000",Ancestral Follower Ashes,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.","🔷 Magia, 🧊 Gelo. Imune a Morte."
Siofra and Nokron,Dragonkin Soldier,Waygate in eastern Siofra River,"16,000",Dragon Halberd,120,"Dano de 🤺 Perfuração (Pierce), 🔥 Fogo, 🩸 Sangramento.","⚡ Raio (moderado), ❄️ Congelamento."
Siofra and Nokron,Regal Ancestor Spirit,Deer corpse after lighting all the pillars,"24,000",Remembrance of the Regal Ancestor,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.","🔷 Magia, 🧊 Gelo. Imune a Morte."
Siofra and Nokron,Mimic Tear,Down the stairs from Siofra River Well Depths,"10,000",2x Larval Tear; Silver Tear Mask,N/A,Fraquezas e Resistências refletem as da sua própria build.,resistências e Fraquezas dependem da sua própria build.
Stormveil Castle,"Margit, the Fell Omen",After Castelward Tunnel SoG,"12,000",Talisman Pouch,80,"🩸 Sangramento, ❄️ Congelamento (ambos moderados), Dano de Impacto (Strike)."," 🩸 Sangramento (moderado), ❄️ Congelamento (moderado)."
Stormveil Castle,Godrick the Grafted,Next to Secluded Cell Sog,"20,000",Godrick's Great Rune; Remembrance of the Grafted,105,"🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento e ❄️ Congelamento (menos que alguns outros chefes, ainda vulnerável)."
Stormveil Castle,Ulcerated Tree Spirit,Underground Crypt,"4,736",Golden Seed,120,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🔥 Fogo. Imune a Morte.
Volcano Manor,2x Abductor Virgin,After Subterranean Inquisition Chamber SoG,"10,000",Inquisitor's Girandole,65,"⚡ Raio, 🏏 Acerto (Strike).",  🩸 Sangramento. ❄️ Congelamento. Fraco a ⚡ Raio e Acerto (Strike).
Volcano Manor,Godskin Noble,Temple of Eiglay,"50,000",Godskin Stitcher; Noble Presence,80,"💤 Sono, 🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo (Fase 2) e ⚔️ Corte (Slash).  🩸 Sangramento, ❄️ Congelamento."
Volcano Manor,Tanith's Crucible Knight,"Rykard, Lord of Blasphemy","2,000",Aspect of the Crucible: Breath,80,"🩸 Sangramento, ❄️ Congelamento, 🔷 Magia.","  🙌🏻 Sagrado.  🩸 Sangramento, ❄️ Congelamento."
Volcano Manor,"Rykard, Lorf of Blasphemy",After a teleporter placed at the end of Legacy Dungeon ,"130,000",Eye Surcoat; Remembrance of the Blasphemous; Rykard's Great Rune,120,Grandes armas que causam 🩸 Sangramento ou ❄️ Congelamento (com a arma especial).,"  🔥 Fogo, 🟢 Veneno,  🍁 Podridão Escarlate (ele mesmo aplica). Imune a Morte."
Volcano Manor,Inquisitor Ghiza,2nd floor of Volcano Mannor Properties,"6,858",Furlcalling Finger Remedy; Ghiza's Wheel,N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Weeping Peninsula,Scaly Misbegotten,Morne Tunnel,"2,000",Rusted Anchor,65,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Weeping Peninsula,Cemetery Shade,Tombsward Catacombs,"2,200",Lhutel the Headless,70,"Dano 🙌🏻 Sagrado, 🔥 Fogo.","❄️ Congelamento, 🩸 Sangramento."
Weeping Peninsula,Ancient Hero of Zamor,Weeping Evergaol,"5,400",Radagon's Scarseal,80,"🔥 Fogo, ⚡ Raio.","❄️ Congelamento (moderado),  🩸 Sangramento. Imune a ❄️ Congelamento (pode ter fases/exceções)."
Weeping Peninsula,Demi-Human Queen,Demi-Human Forest Ruins,"1,013",Demi.Human Queen's Staff; Crystal Burst,80,🔥 Fogo.," 🩸 Sangramento, ❄️ Congelamento."
Weeping Peninsula,Erdtree Burial Watchdog,Impaler's Catacombs,2400,Demi-Human Ashes,80,"🏏 Acerto (Strike), 🔥 Fogo, Dano 🙌🏻 Sagrado (menos do que esperaria).","  🤺 Perfuração (Thrust).  🩸 Sangramento, ❄️ Congelamento."
Weeping Peninsula,Night's Cavalry,Next to Castle Morne Rampart SoG,"3,400",Nightrider Flail; Ash of War: Barricade Shield,80,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento e ❄️ Congelamento (variação por arma).
Weeping Peninsula,Runebear,Earthbore Cave,"2,600",Spelldrake Talisman,80,"🩸 Sangramento, 🔥 Fogo.", 🩸 Sangramento.
Weeping Peninsula,Miranda the Blighted Bloom,Tombsward Cave,"2,100",Viridian Amber Medallion,100,🔥 Fogo., 🔷 Magia.
Weeping Peninsula,Deathbird,Next to Castle Morne Rampart SoG,"3,900",Sacrificial Axe,120,"🔥 Fogo, Dano de 🏏 Acerto (Strike).",Imune a Morte.   🙌🏻 Sagrado.  🩸 Sangramento (moderado).
Weeping Peninsula,Erdtree Avatar,Minor Erdtree,"4,500",Opaline Bubbletear; Crimsonburst Crystal Tear,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.","  🙌🏻 Sagrado.  🩸 Sangramento, ❄️ Congelamento."
